"No.","Time","Source","Destination","Protocol","Length","Info"
"8007","11:57:11.488739373","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38527 Ack=4086540 Win=65536 Len=0"
"8008","11:57:11.488739467","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8009","11:57:11.488852458","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8010","11:57:11.488952067","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38566 Ack=4090718 Win=65536 Len=0"
"8011","11:57:11.488952163","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8012","11:57:11.489083883","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8013","11:57:11.489204434","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38605 Ack=4094896 Win=65536 Len=0"
"8014","11:57:11.489204535","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8015","11:57:11.489320580","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8016","11:57:11.489478475","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38644 Ack=4099074 Win=65536 Len=0"
"8017","11:57:11.489478576","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8018","11:57:11.489624082","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8019","11:57:11.489755093","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38683 Ack=4103252 Win=65536 Len=0"
"8020","11:57:11.489755194","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8021","11:57:11.490015217","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
